item_name,date_time,date_time_string,latitude,longitude,n_field,category1,category2
0,2019-01-01 11:30:00,20190101113000,1.3218651915379596,14.722629159620817,780.9997111961968,CAT1_B,CAT2_E
1,2019-01-01 12:30:00,20190101123000,20.40100563602325,14.380599910749456,818.8429624269007,CAT1_D,CAT2_D
2,2019-01-01 13:30:00,20190101133000,1.5387949125773233,16.160229036038807,776.0636933524243,CAT1_D,CAT2_D
3,2019-01-01 14:30:00,20190101143000,20.233476687186513,13.57027091126205,916.5973069235384,CAT1_B,CAT2_D
4,2019-01-01 15:30:00,20190101153000,22.68821411982404,14.328825251275237,703.8683816904559,CAT1_A,CAT2_C
5,2019-01-01 16:30:00,20190101163000,9.824037061593346,16.845922006173883,887.896699659421,CAT1_C,CAT2_E
6,2019-01-01 17:30:00,20190101173000,0.30770242191557085,14.729742538273197,117.1625706035752,CAT1_B,CAT2_C
7,2019-01-01 18:30:00,20190101183000,18.19615456717863,16.613865127032675,560.1620399823953,CAT1_B,CAT2_E
8,2019-01-01 19:30:00,20190101193000,9.682986946652083,16.661814798339375,176.69810501867252,CAT1_B,CAT2_B
9,2019-01-01 20:30:00,20190101203000,5.915283791458733,14.951827889006637,612.0909403796749,CAT1_A,CAT2_C
10,2019-01-01 21:30:00,20190101213000,9.679133401237483,14.227380109404088,651.7928686273132,CAT1_C,CAT2_D
11,2019-01-01 22:30:00,20190101223000,1.9480469319967249,15.646878088671903,920.5466638157053,CAT1_B,CAT2_C
12,2019-01-01 23:30:00,20190101233000,0.2686815227493682,16.918070865876658,666.8871903045582,CAT1_E,CAT2_E
13,2019-01-02 00:30:00,20190102003000,6.14906356499602,15.03617093292717,739.710685677818,CAT1_D,CAT2_D
14,2019-01-02 01:30:00,20190102013000,23.421838139356836,13.486147022422587,905.7823776138383,CAT1_E,CAT2_D
15,2019-01-02 02:30:00,20190102023000,6.689230687892189,13.615311290680857,418.511660075636,CAT1_C,CAT2_E
16,2019-01-02 03:30:00,20190102033000,17.03494622327688,14.432099382618919,403.29323248664855,CAT1_D,CAT2_B
17,2019-01-02 04:30:00,20190102043000,21.12730700324642,13.623975989080249,172.36572868617128,CAT1_A,CAT2_C
18,2019-01-02 05:30:00,20190102053000,12.15949209664651,14.7566076787536,203.37471494364556,CAT1_C,CAT2_A
19,2019-01-02 06:30:00,20190102063000,1.2883952207349836,15.505055232345512,651.2626491995832,CAT1_A,CAT2_A
20,2019-01-02 07:30:00,20190102073000,21.813812150134982,13.359679092106148,728.7457007797561,CAT1_C,CAT2_E
21,2019-01-02 08:30:00,20190102083000,14.92954443999528,13.425261925336876,360.80190723537476,CAT1_E,CAT2_A
22,2019-01-02 09:30:00,20190102093000,3.9581533340151207,13.81064878314141,492.90990154297407,CAT1_A,CAT2_C
23,2019-01-02 10:30:00,20190102103000,12.305253607386542,15.493663615005987,375.9929449095711,CAT1_E,CAT2_C
24,2019-01-02 11:30:00,20190102113000,13.433752614105956,13.22690029440112,185.1939053400074,CAT1_D,CAT2_C
25,2019-01-02 12:30:00,20190102123000,21.923369843538907,16.288188778385564,411.430077052817,CAT1_B,CAT2_E
26,2019-01-02 13:30:00,20190102133000,19.601835199686796,15.350938589437604,137.7248307607764,CAT1_E,CAT2_C
27,2019-01-02 14:30:00,20190102143000,0.13320147391640091,13.609181407530276,614.4464728745234,CAT1_D,CAT2_D
28,2019-01-02 15:30:00,20190102153000,1.8704408866416395,15.225925440979083,966.6704577314586,CAT1_C,CAT2_B
29,2019-01-02 16:30:00,20190102163000,2.0665723829447975,14.540284001239703,361.6239644718735,CAT1_E,CAT2_E
30,2019-01-02 17:30:00,20190102173000,11.610304344881017,13.495975236225265,264.49249383302663,CAT1_C,CAT2_D
31,2019-01-02 18:30:00,20190102183000,3.4410064360030006,15.16315953394323,396.51187767589954,CAT1_C,CAT2_A
32,2019-01-02 19:30:00,20190102193000,0.44090645026073894,14.60786820321337,921.2600858716552,CAT1_A,CAT2_E
33,2019-01-02 20:30:00,20190102203000,12.814718616018276,15.329447864530046,245.97810732018894,CAT1_D,CAT2_C
34,2019-01-02 21:30:00,20190102213000,5.89938907621476,15.4202101985767,449.0239485504751,CAT1_B,CAT2_C
35,2019-01-02 22:30:00,20190102223000,17.934586985415297,14.615694180245054,661.1189690256325,CAT1_C,CAT2_B
36,2019-01-02 23:30:00,20190102233000,21.085240920322526,15.254896285390235,225.94806222219037,CAT1_D,CAT2_E
37,2019-01-03 00:30:00,20190103003000,18.122949052512695,15.585972930687774,823.5007436023469,CAT1_C,CAT2_E
38,2019-01-03 01:30:00,20190103013000,9.717438022263039,16.803175258443698,336.9574740928631,CAT1_A,CAT2_D
39,2019-01-03 02:30:00,20190103023000,6.821169338526142,13.171221971720023,505.7855507797841,CAT1_D,CAT2_E
40,2019-01-03 03:30:00,20190103033000,11.569873969928253,14.218771516330584,390.7254861674952,CAT1_B,CAT2_A
41,2019-01-03 04:30:00,20190103043000,4.783394745889317,15.380523083415381,292.57228995345395,CAT1_D,CAT2_A
42,2019-01-03 05:30:00,20190103053000,1.799818335185983,15.799048754526458,360.90498402790547,CAT1_D,CAT2_B
43,2019-01-03 06:30:00,20190103063000,3.854465109910806,13.845792142546095,683.173473936987,CAT1_B,CAT2_D
44,2019-01-03 07:30:00,20190103073000,4.551192413695122,13.109982042396355,601.3299360559214,CAT1_D,CAT2_C
45,2019-01-03 08:30:00,20190103083000,18.389019939420262,16.250624637460533,414.74900682594233,CAT1_A,CAT2_A
46,2019-01-03 09:30:00,20190103093000,0.30525971665274376,16.29697028145475,659.2864699150907,CAT1_B,CAT2_D
47,2019-01-03 10:30:00,20190103103000,3.689908861832138,15.412063693083933,334.27062181666173,CAT1_D,CAT2_B
48,2019-01-03 11:30:00,20190103113000,7.129180386133755,14.986007298083052,470.64270065146223,CAT1_C,CAT2_C
49,2019-01-03 12:30:00,20190103123000,6.4417239804893835,14.516539677985039,679.851525236235,CAT1_D,CAT2_D
50,2019-01-03 13:30:00,20190103133000,9.336351371212,15.134794878609439,276.7565251435911,CAT1_C,CAT2_D
51,2019-01-03 14:30:00,20190103143000,23.389412974268737,14.693199267900042,712.3454465694208,CAT1_C,CAT2_A
52,2019-01-03 15:30:00,20190103153000,2.9078274894183185,16.13379240737767,701.8427407954509,CAT1_C,CAT2_D
53,2019-01-03 16:30:00,20190103163000,6.43184849839362,15.447005417608107,703.3038863914524,CAT1_B,CAT2_A
54,2019-01-03 17:30:00,20190103173000,1.8659168978170566,16.50002255624814,163.20006883939914,CAT1_A,CAT2_E
55,2019-01-03 18:30:00,20190103183000,16.21898528233828,15.69600965649007,450.23162960270867,CAT1_A,CAT2_D
56,2019-01-03 19:30:00,20190103193000,19.736644618872777,13.54407921119231,418.6188438460102,CAT1_E,CAT2_E
57,2019-01-03 20:30:00,20190103203000,9.58635237677375,16.904867370572234,230.57941545748224,CAT1_C,CAT2_A
58,2019-01-03 21:30:00,20190103213000,15.550515186608347,15.616023486628544,702.9587315065573,CAT1_D,CAT2_C
59,2019-01-03 22:30:00,20190103223000,8.754380093721355,13.944291048009536,638.8086372189562,CAT1_B,CAT2_B
60,2019-01-03 23:30:00,20190103233000,17.083359877420875,13.44184467405541,329.79480457132263,CAT1_D,CAT2_A
61,2019-01-04 00:30:00,20190104003000,0.6679320977624936,15.460671745919981,698.5298030159797,CAT1_C,CAT2_C
62,2019-01-04 01:30:00,20190104013000,14.795843389316897,13.510353595818883,630.2723620027891,CAT1_C,CAT2_B
63,2019-01-04 02:30:00,20190104023000,15.711301606373098,13.594763764526032,712.7963158825153,CAT1_C,CAT2_B
